index,882175aa1bfffff,882175aacdfffff,882175aa13fffff,882175a167fffff,882175a123fffff,882175aa17fffff,882175aa11fffff,882175a12dfffff,882175a135fffff,882175aac5fffff,882175ba07fffff,882175a0e7fffff,882175af23fffff,882175a129fffff,8821750713fffff,882175ae33fffff,882175a75dfffff,882175b03bfffff,882175aac9fffff,882175a931fffff,882175a125fffff,882175aa33fffff,882175ba2bfffff,882175aa19fffff,882175a127fffff,882175a0a9fffff,882175022dfffff,882175141bfffff,8821750569fffff,882175a13dfffff,882175aa15fffff,8821751013fffff,882175aa53fffff,882175aa85fffff,882175022bfffff,882175a755fffff,882175aa5bfffff,88217506d7fffff,882175a121fffff,882175056dfffff,882175aeedfffff,882175115dfffff,8821751293fffff,882175161bfffff,882175b039fffff,882175aa2dfffff,882175af27fffff,882175a0a1fffff,88217500bbfffff,882175bacdfffff,882175b829fffff,882175b6adfffff,882175a647fffff,882175a23dfffff,8821751817fffff,8821751413fffff,8821753159fffff,8821751a1dfffff,882175aa81fffff,882175a815fffff
882175aa1bfffff,0.0,743.0,779.0,5712.0,2988.0,1751.0,1124.0,4659.0,3250.0,1695.0,22872.0,14847.0,17709.0,4584.0,29041.0,26438.0,25819.0,27426.0,2977.0,18024.0,1089.0,3646.0,22425.0,1403.0,1261.0,14622.0,42518.0,20024.0,36930.0,3259.0,2128.0,28425.0,1763.0,4958.0,41591.0,25570.0,3361.0,21458.0,4564.0,37399.0,26951.0,28425.0,33929.0,22903.0,27390.0,7109.0,19018.0,15063.0,38397.0,23693.0,15492.0,45171.0,31200.0,25323.0,28425.0,20670.0,25671.0,28425.0,5493.0,9520.0
882175aacdfffff,743.0,0.0,887.0,5416.0,2693.0,1928.0,1572.0,4364.0,2955.0,1170.0,23333.0,14551.0,17292.0,4288.0,28554.0,26021.0,25523.0,27009.0,2414.0,17538.0,1627.0,3820.0,22886.0,1887.0,1501.0,14327.0,42747.0,20253.0,36443.0,2964.0,2645.0,28886.0,2345.0,4339.0,41820.0,25274.0,3739.0,20971.0,4268.0,36912.0,26534.0,28886.0,34158.0,23132.0,26973.0,7338.0,18601.0,14768.0,37910.0,23275.0,15953.0,44437.0,30905.0,25027.0,28886.0,20899.0,25184.0,28886.0,4874.0,9032.0
882175aa13fffff,779.0,887.0,0.0,6249.0,3525.0,1441.0,1137.0,5196.0,3787.0,1396.0,23456.0,15383.0,17992.0,5121.0,28322.0,26721.0,26356.0,27709.0,3260.0,17305.0,1868.0,3367.0,23009.0,1903.0,2037.0,15159.0,42239.0,19745.0,36211.0,3796.0,2149.0,29009.0,2457.0,4701.0,41312.0,26107.0,3971.0,20738.0,5101.0,36680.0,27234.0,29009.0,33650.0,22624.0,27673.0,6830.0,19301.0,15600.0,37678.0,23975.0,16076.0,45324.0,31737.0,25860.0,29009.0,20391.0,24951.0,29009.0,5236.0,8800.0
882175a167fffff,5712.0,5416.0,6249.0,0.0,3553.0,7200.0,6836.0,1243.0,4282.0,6586.0,27908.0,15463.0,18332.0,1508.0,33970.0,27061.0,26671.0,28049.0,3663.0,22954.0,5989.0,9126.0,27461.0,6362.0,5666.0,15239.0,47623.0,25496.0,41859.0,4608.0,7840.0,30315.0,6721.0,9755.0,46696.0,26318.0,8345.0,26387.0,1638.0,42328.0,27574.0,30315.0,39400.0,28374.0,28013.0,12588.0,19641.0,15680.0,43326.0,24315.0,20528.0,45477.0,31948.0,26071.0,30315.0,26141.0,30600.0,30315.0,10290.0,14448.0
882175a123fffff,2988.0,2693.0,3525.0,3553.0,0.0,4476.0,4112.0,2655.0,1474.0,3863.0,25191.0,13532.0,16276.0,2453.0,31247.0,25005.0,24615.0,25993.0,999.0,20231.0,3286.0,6402.0,24744.0,3638.0,2707.0,13307.0,45244.0,22751.0,39136.0,1162.0,5116.0,28260.0,4008.0,7032.0,44317.0,24262.0,5632.0,23664.0,2539.0,39605.0,25518.0,28260.0,36655.0,25630.0,25957.0,9865.0,17585.0,13748.0,40603.0,22260.0,17811.0,43422.0,29893.0,24016.0,28260.0,23396.0,27877.0,28260.0,7567.0,11725.0
882175aa17fffff,1751.0,1928.0,1441.0,7200.0,4476.0,0.0,627.0,6147.0,4738.0,1776.0,24051.0,16334.0,19050.0,6072.0,29116.0,27780.0,27307.0,28767.0,4319.0,18099.0,2342.0,2187.0,23604.0,2498.0,2894.0,16110.0,41060.0,18566.0,37005.0,4747.0,1017.0,29604.0,3031.0,4983.0,40133.0,27058.0,4566.0,21533.0,6052.0,37474.0,28293.0,29604.0,32471.0,21445.0,28731.0,5651.0,20359.0,16551.0,38472.0,25034.0,16671.0,46365.0,32688.0,26811.0,29604.0,19212.0,25746.0,29604.0,5518.0,9595.0
882175aa11fffff,1124.0,1572.0,1137.0,6836.0,4112.0,627.0,0.0,5783.0,4374.0,1820.0,23445.0,15971.0,18695.0,5708.0,29149.0,27424.0,26943.0,28411.0,3963.0,18132.0,1715.0,2566.0,22998.0,1892.0,2267.0,15746.0,41426.0,18932.0,37038.0,4383.0,1073.0,28998.0,2425.0,5026.0,40499.0,26694.0,3960.0,21565.0,5688.0,37507.0,27937.0,28998.0,32836.0,21811.0,28376.0,6029.0,20004.0,16187.0,38505.0,24679.0,16065.0,46009.0,32324.0,26447.0,28998.0,19577.0,25778.0,28998.0,5561.0,9627.0
882175a12dfffff,4659.0,4364.0,5196.0,1243.0,2655.0,6147.0,5783.0,0.0,3260.0,5534.0,26862.0,14742.0,17305.0,586.0,32918.0,26034.0,25645.0,27022.0,2610.0,21902.0,5090.0,8073.0,26415.0,5309.0,4768.0,14518.0,46597.0,24451.0,40807.0,3564.0,6787.0,29289.0,5678.0,8703.0,45670.0,25291.0,7302.0,25335.0,652.0,41276.0,26547.0,29289.0,38356.0,27330.0,26986.0,11536.0,18614.0,14959.0,42274.0,23289.0,19482.0,44708.0,30921.0,25044.0,29289.0,25097.0,29548.0,29289.0,9238.0,13396.0
882175a135fffff,3250.0,2955.0,3787.0,4282.0,1474.0,4738.0,4374.0,3260.0,0.0,4125.0,25453.0,13892.0,16608.0,3185.0,31509.0,25337.0,24946.0,26324.0,880.0,20493.0,3559.0,6664.0,25006.0,3900.0,3236.0,13668.0,45536.0,23042.0,39398.0,1164.0,5378.0,28591.0,4270.0,7294.0,44609.0,24594.0,5894.0,23926.0,3165.0,39867.0,25850.0,28591.0,36947.0,25921.0,26289.0,10127.0,17917.0,14109.0,40865.0,22591.0,18073.0,44092.0,30224.0,24347.0,28591.0,23688.0,28139.0,28591.0,7829.0,11987.0
882175aac5fffff,1695.0,1170.0,1396.0,6586.0,3863.0,1776.0,1820.0,5534.0,4125.0,0.0,24497.0,15721.0,18462.0,5458.0,27575.0,27191.0,26693.0,28179.0,3584.0,16558.0,2663.0,3669.0,24050.0,2944.0,2671.0,15497.0,42595.0,20101.0,35464.0,4134.0,2551.0,30050.0,3381.0,3360.0,41668.0,26444.0,4785.0,19992.0,5438.0,35933.0,27704.0,30050.0,34006.0,22980.0,28143.0,7186.0,19771.0,15938.0,36931.0,24445.0,17117.0,45607.0,32075.0,26197.0,30050.0,20747.0,24205.0,30050.0,3895.0,8054.0
